ProjectNumber,Title,Organization,Agency,AwardAmount
5K01HG013352-03,"A Multi-stakeholder Approach to the ELSI of Social and Behavioral Genomics: Investigating the Field's Downstream Implications to Mitigate Harms, Promote Benefits, and Locate Social Responsibility",STANFORD UNIVERSITY,National Human Genome Research Institute,294424
5P20GM144041-04,Host-pathogen molecular and cardiovascular interaction during influenza infection,UNIVERSITY OF MISSISSIPPI MED CTR,National Institute of General Medical Sciences,218532
2R35GM139484-06,Genomic and Systemic Approaches to Evolutionary Mechanisms,UNIVERSITY OF MICHIGAN AT ANN ARBOR,National Institute of General Medical Sciences,555533
5P30CA077598-28,Cancer Genomics Shared Resource,UNIVERSITY OF MINNESOTA,National Cancer Institute,136513
3U01HG011745-05S1,Pediatric Mendelian Genomics Research Center,UNIVERSITY OF CALIFORNIA-IRVINE,National Human Genome Research Institute,1863473
5R35GM156952-02,Gene regulatory network plasticity in social behavior,UNIVERSITY OF KENTUCKY,National Institute of General Medical Sciences,365000
5R25HG012324-04,"Genomic Intensive Data Science Research, Education and Mentorship",UNIVERSITY OF ROCHESTER,National Human Genome Research Institute,250993
2P30CA023100-38,Specialized Cancer Center Support Grant,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",National Cancer Institute,4989141
5R35GM119515-10,The evolutionary and functional genomics of satellite DNA,UNIVERSITY OF ROCHESTER,National Institute of General Medical Sciences,421050
5R01AI168993-05,Enabling synthetic biology through single cell functional genomics,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",National Institute of Allergy and Infectious Diseases,434611
1R35GM161912-01,Predictable molecular evolution during adaptation,CORNELL UNIVERSITY,National Institute of General Medical Sciences,431750
5P30CA043703-36,Integrated Genomics,CASE WESTERN RESERVE UNIVERSITY,National Cancer Institute,216601
5P30CA012197-51,Cancer Genomics Shared Resource,WAKE FOREST UNIVERSITY HEALTH SCIENCES,National Cancer Institute,37843
2R35GM139540-06,Methods for Evolutionary Genomics Analysis,TEMPLE UNIV OF THE COMMONWEALTH,National Institute of General Medical Sciences,475500
5R35GM127070-09,"Evolutionary Human Genomics: Demography, Natural Selection, and Transcriptional Regulation",COLD SPRING HARBOR LABORATORY,National Institute of General Medical Sciences,576000
5U54AG089325-02,Virome Investigation in Diverse Human Populations,"BROAD INSTITUTE, INC.",National Institute on Aging,4060000
5R35GM133758-07,Using naturally evolved phenotypic variation to decipher the positional regulatory code of mammalian skin,PRINCETON UNIVERSITY,National Institute of General Medical Sciences,473550
1R35GM162848-01,Identifying fundamental principles of evolutionary dynamics in multispecies microbiomes,SYRACUSE UNIVERSITY,National Institute of General Medical Sciences,411125
5P01AI155393-05,Core-002,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",National Institute of Allergy and Infectious Diseases,167042
1F32GM163371-01,The repeated evolution of hybrid melanoma across Xiphophorus fish,STANFORD UNIVERSITY,National Institute of General Medical Sciences,76780
5R01HL164105-04,Developmental and genetic function of SHROOM3,INDIANA UNIVERSITY INDIANAPOLIS,National Heart Lung and Blood Institute,523128
4P30CA016086-50,Sequencing and Genomics,UNIV OF NORTH CAROLINA CHAPEL HILL,National Cancer Institute,246133
5R13HG014076-02,CSHL Conference on Probabilistic Modeling in Genomics,COLD SPRING HARBOR LABORATORY,National Human Genome Research Institute,1
5R00HG012973-04,Molecular recording to understand the determinants of cell fate transitions in early development,SLOAN-KETTERING INST CAN RESEARCH,National Human Genome Research Institute,249000
5R35GM124836-09,"Computational approaches to advance genomic, biological and clinical understandings of human disease",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,National Institute of General Medical Sciences,453075
5R35HL171346-03,Transcriptional and epigenetic mechanisms of alveologenesis and re-alveologenesis,CINCINNATI CHILDRENS HOSP MED CTR,National Heart Lung and Blood Institute,1099905
5R35GM133762-07,Tracking transcriptome diversity in real-time,UNIV OF MASSACHUSETTS MED SCH WORCESTER,National Institute of General Medical Sciences,479050
5R35GM152103-03,The role of genome folding in regulating gene expression and chromatin state,UNIV OF NORTH CAROLINA CHAPEL HILL,National Institute of General Medical Sciences,414455
5R35GM152232-03,"Genetic mechanisms of phenotypic variation within and amongst genotypes, environments, and sexes",UNIVERSITY OF HOUSTON,National Institute of General Medical Sciences,392500
5P30CA014089-50,Molecular Genomics Core,UNIVERSITY OF SOUTHERN CALIFORNIA,National Cancer Institute,694781
5U54HG013595-02,The MSM Institute of Translational Genomic Medicine’s Center for Genomic Research,MOREHOUSE SCHOOL OF MEDICINE,National Human Genome Research Institute,1960175
5R01MH124875-05,6/7 Psychiatric Genomics Consortium: Advancing Discovery and Impact,TRINITY COLLEGE DUBLIN,National Institute of Mental Health,157749
5U24HG013233-03,AnVIL Clinical Environment for Innovation and Translation (ACE-IT),VANDERBILT UNIVERSITY MEDICAL CENTER,National Human Genome Research Institute,1429420
2P30CA023100-38,Protocol Review and Monitoring System,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",National Cancer Institute,161625
3U01HG011719-05S1,Enabling improved applicability and transferability of polygenic scores across populations,MASSACHUSETTS GENERAL HOSPITAL,National Human Genome Research Institute,536395
2R35GM138167-06,Mapping systems of DNA repair with high-resolution functional genomics,PRINCETON UNIVERSITY,National Institute of General Medical Sciences,451000
5R35GM153327-03,"The origin, maintenance, and adaptive consequences of variation in genome structure",UNIVERSITY OF CALIFORNIA-IRVINE,National Institute of General Medical Sciences,379428
5R25HG009651-08,An Immersive Experience in Medical Genomics,"CHILDREN'S MERCY HOSP (KANSAS CITY, MO)",National Human Genome Research Institute,77731
3R35GM128822-08S1,Transposon-mediated rewiring of gene regulatory networks,UNIVERSITY OF COLORADO,National Institute of General Medical Sciences,61202
5U24HG013300-03,FlyBase: A Drosophila Genomic and Genetic Database,HARVARD UNIVERSITY,National Human Genome Research Institute,2127948
5R35GM156519-02,Evolutionary and functional impact of common genomic structural variations,STATE UNIVERSITY OF NEW YORK AT BUFFALO,National Institute of General Medical Sciences,401914
5R35GM128822-08,Transposon-mediated rewiring of gene regulatory networks,UNIVERSITY OF COLORADO,National Institute of General Medical Sciences,414518
2P30CA023100-38,Shared Resource Management,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",National Cancer Institute,1391774
5R25CA272282-04,Genomics Research Experience for Master's Students (GEMS) Fellowship,SLOAN-KETTERING INST CAN RESEARCH,National Cancer Institute,76412
5P30CA014195-53,Next Generation Sequencing Core (NGS),SALK INSTITUTE FOR BIOLOGICAL STUDIES,National Cancer Institute,252398
5P30CA272302-02,Genomics Shared Resource,UNIVERSITY OF ROCHESTER,National Cancer Institute,131293
5R37CA245523-07,Dissecting the cellular hierarchies of malignant gliomas by single-cell functional genomics,MASSACHUSETTS GENERAL HOSPITAL,National Cancer Institute,391612
5R13HG013619-03,Support for Young Investigators from LMICs to attend the Human Genome Meeting,"HUMAN GENOME ORGANIZATION INTERNATIONAL, INC.",National Human Genome Research Institute,19760
5U54HG013595-02,Community Engagement Core,MOREHOUSE SCHOOL OF MEDICINE,National Human Genome Research Institute,320243
5R35HL177389-02,Finding and pushing the limits of macrophage efferocytosis in atherosclerosis,COLUMBIA UNIVERSITY HEALTH SCIENCES,National Heart Lung and Blood Institute,656633
