BillID,Title,Congress,DateIssued,DocumentClass
BILLS-116hr1222rds,Target Practice and Marksmanship Training Support Act,116,2019-04-30,hr
BILLS-119hr8707ih,No Funds for Iran War Act,119,2026-05-07,hr
BILLS-119s4428is,No Aid for Ghost Students Act of 2026,119,2026-04-29,s
BILLS-119hr8685ih,Protect the Presidency Act,119,2026-05-07,hr
BILLS-119s4460is,Rural Community Hospital Demonstration Program Reauthorization,119,2026-04-30,s
BILLS-119hr8689ih,Strategic Export Controls and Border Security Enhancement Act,119,2026-05-07,hr
BILLS-119s4421is,No Oil Profits for Enemies Act of 2026; NOPE Act of 2026,119,2026-04-28,s
BILLS-119s4433is,Disaster Declaration Transparency Act of 2026,119,2026-04-29,s
BILLS-119hr8705ih,"Civics and History Advancement to Restore Learning, Integrity, and Education Act; CHARLIE Act",119,2026-05-07,hr
BILLS-119hr8647ih,Representative Green’s Original Legislation to increase from 9 to 13 the number of justices of the Supreme Court.,119,2026-05-04,hr
BILLS-119s4424is,"To amend the National Defense Authorization Act for Fiscal Year 2021 to prohibit certain institutions of higher education from receiving research and development awards, and for other purposes.",119,2026-04-28,s
BILLS-119hr8687ih,Eliminating Nefarious Distribution of Smuggled Chinese Vapes Act of 2026; ENDS Chinese Vapes Act of 2026,119,2026-05-07,hr
BILLS-119s4439is,Built To Last Act of 2026,119,2026-04-29,s
BILLS-119s4400is,Optimizing the Department of Veterans Affairs Workforce for Veterans Act of 2026; Optimizing the VA Workforce for Veterans Act of 2026,119,2026-04-27,s
BILLS-119s4474is,Servicemember Civilian Transition Support Act,119,2026-04-30,s
BILLS-119s4459is,Expanding Appalachia’s Broadband Access Act,119,2026-04-30,s
BILLS-119hr8669ih,"To designate the facility of the United States Postal Service located at 5951 Riverdale Avenue in Bronx, New York, as the Eliot L. Engel Post Office.",119,2026-05-07,hr
BILLS-119hr8688ih,Forest Health and Wildfire Risk Reduction Act,119,2026-05-07,hr
BILLS-119s4420is,Physical Therapist Workforce and Patient Access Act of 2026,119,2026-04-28,s
BILLS-119s4427is,Heat Workforce Standards Act of 2026,119,2026-04-29,s
BILLS-119s4466is,"Pathways for Advancement, Transition, and Hiring to the Foreign Service; PATH to the Foreign Service Act",119,2026-04-30,s
BILLS-119s4413is,Protecting America’s Workers Act,119,2026-04-28,s
BILLS-119s4440is,Clinical Trial Modernization Act,119,2026-04-29,s
BILLS-119hr8479ih,Protecting Consumers from Deceptive AI Act,119,2026-04-23,hr
BILLS-119s4408is,Supporting Energy and Economic Development (SEED) Act,119,2026-04-28,s
BILLS-119s4462is,Logan's Law,119,2026-04-30,s
BILLS-119s4434is,Correcting Lapsed Enforcement in Antitrust Norms for Mergers Act; CLEAN Mergers Act,119,2026-04-29,s
BILLS-119hr8703ih,"To designate the facility of the Federal Aviation Administration located at Yakima Air Terminal in Yakima, Washington, as the Roy A. Rutherford Air Traffic Control Tower.",119,2026-05-07,hr
BILLS-119hr8708ih,Main Street Business Resource Integration and Development for Growth and Equity Act; Main Street BRIDGE Act,119,2026-05-07,hr
BILLS-119hr8680ih,Armed Forces Carry Rights Protection Act of 2026,119,2026-05-07,hr
BILLS-119hr8679ih,"To amend title 38, United States Code, to require the Secretary of Veterans Affairs to transmit a veteran’s history of opioid prescriptions to a Community Care health care provider.",119,2026-05-07,hr
BILLS-119hr8637ih,Release Your Taxes Act of 2026,119,2026-04-30,hr
BILLS-119hr8630ih,Protecting Equal Access to Thyroid Act of 2026; PEAT Act of 2026,119,2026-04-30,hr
BILLS-119hr8588ih,Housing for Formerly Incarcerated Reentry and Stable Tenancy Act; Housing FIRST Act,119,2026-04-29,hr
BILLS-119hr8678ih,Zero Tolerance for Political Violence Act of 2026,119,2026-05-07,hr
BILLS-119hr8645ih,New Pathways Act,119,2026-04-30,hr
BILLS-119hr8627ih,Petfax Act of 2026,119,2026-04-30,hr
BILLS-119hr8631ih,Keeping Our Manufacturers from Being Unfairly taxed while Championing Health Act; KOMBUCHA,119,2026-04-30,hr
BILLS-119hr8636ih,Strengthening Educator Workforce Data Act,119,2026-04-30,hr
BILLS-119hr8650ih,Medicaid Outreach and Assistance for Communities Act of 2026,119,2026-05-04,hr
BILLS-119hr8699ih,Safe Transit for All Act of 2026,119,2026-05-07,hr
BILLS-119hr8677ih,Make the American Dream Real Again Act,119,2026-05-07,hr
BILLS-119hr8632ih,PFAS Cleanup Act,119,2026-04-30,hr
BILLS-119hr8667ih,Maximizing Individual Savings for Servicemembers In Obtaining Negotiated Rx Act; MISSION Rx Act,119,2026-05-07,hr
BILLS-119hr8633ih,Competitive Prices Act.,119,2026-04-30,hr
BILLS-119hr8635ih,Verification Enhancement and Reliability for Immigration Fidelity Act of 2026; VERIFY Act of 2026,119,2026-04-30,hr
BILLS-119hr8629ih,Developing the Community Health Workforce Act of 2026,119,2026-04-30,hr
BILLS-119hr8642ih,"Pathways for Advancement, Transition, and Hiring to the Foreign Service; PATH to the Foreign Service Act",119,2026-04-30,hr
BILLS-119hr8664ih,Small Business Administration Artificial Intelligence Adoption Reporting Act of 2026; SBA AI Adoption Reporting Act of 2026,119,2026-05-04,hr
BILLS-119hr8639ih,Critical Operation Oversight of Law Enforcement Intervention and Training Act; COOL IT Act,119,2026-04-30,hr
